class,age,sex,survived
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,yes
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,man,no
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,yes
1st class,adults,women,no
1st class,adults,women,no
1st class,adults,women,no
1st class,adults,women,no
1st class,child,man,yes
1st class,child,man,yes
1st class,child,man,yes
1st class,child,man,yes
1st class,child,man,yes
1st class,child,women,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,yes
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,man,no
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,yes
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,adults,women,no
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,man,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
2nd class,child,women,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
3rd class,adults,man,yes
